id,title,album_id,genre_id,len,rating,count
237,PHP-05-Functions.mp3,233,195,1446792,NULL,NULL
238,PHP-06-Strings.mp3,233,195,417696,NULL,NULL
239,PHP-12-Sessions.mp3,233,195,3624312,NULL,NULL
240,PHP-06-Objects.mp3,233,195,2455368,NULL,NULL
241,SI664-13-JSON-A.mp3,233,195,4407672,NULL,NULL
242,PHP-13-JavaScript.mp3,233,195,3650088,NULL,NULL
243,PHP-09-Database-Design.mp3,233,195,3591072,NULL,NULL
244,PHP-Tsugi-Install.mp3,233,195,3181656,NULL,NULL
245,PHP-10-MySQL-PDO.mp3,233,195,4536685,NULL,NULL
246,PHP-08-MySQL.mp3,233,195,3994656,NULL,NULL
247,SI664-13-JSON-B.mp3,233,195,1484616,NULL,NULL
248,IMS-Learning-Tools-Interoperability.mp3,233,195,2185848,NULL,NULL
249,An Interview with Don Waters,249,249,1411082,NULL,2
250,PY4INF-11-Regex.mp3,195,195,2123702,NULL,NULL
251,PY4INF-10-Tuples.mp3,195,195,1597596,NULL,NULL
252,PY4INF-09-Dictionaries.mp3,195,195,2254445,NULL,NULL
253,PY4INF-08-Lists.mp3,195,195,1636231,NULL,NULL
254,PY4INF-07-Files.mp3,195,195,1478713,NULL,NULL
255,PY4INF-06-Strings.mp3,195,195,1677844,NULL,NULL
256,PY4INF-05-Iterations.mp3,195,195,2804297,NULL,NULL
257,PY4INF-04-Functions.mp3,195,195,1683800,NULL,NULL
258,PY4INF-03-Conditional.mp3,195,195,2296058,NULL,NULL
259,PY4INF-02-Expressions.mp3,195,195,2578416,NULL,NULL
260,PY4INF-01-Intro.mp3,195,195,3428075,NULL,NULL
261,Py4Inf-11-Regex.mp3,195,195,2123702,NULL,NULL
262,Py4Inf-10-Tuples.mp3,195,195,1597596,NULL,NULL
263,Py4Inf-09-Dictionaries.mp3,195,195,2254445,NULL,NULL
264,Py4Inf-08-Lists.mp3,195,195,1636231,NULL,NULL
265,Py4Inf-07-Files.mp3,195,195,1478713,NULL,NULL
266,Py4Inf-06-Strings.mp3,195,195,1677844,NULL,NULL
267,Py4Inf-05-Iterations.mp3,195,195,2804297,NULL,NULL
268,Py4Inf-04-Functions.mp3,195,195,1683800,NULL,NULL
269,Py4Inf-03-Conditional.mp3,195,195,2296058,NULL,NULL
270,Py4Inf-02-Expressions.mp3,195,195,2578416,NULL,NULL
271,Py4Inf-01-Intro.mp3,195,195,3428075,NULL,NULL
272,Ian Foster on the Globus Project,196,195,538305,NULL,1
273,Khan Academy and Computer Science,196,195,558837,NULL,1
274,Guido van Rossumon the Early Years of Python,196,195,701884,NULL,1
275,Guido van Rossum on the Modern Era of Python,196,195,741616,NULL,NULL
276,John Resig on Building jQuery,196,195,595983,NULL,NULL
277,Roy T. Fielding on Understanding the REST Style,196,195,683650,NULL,1
278,Anil Jain: 25 Years of Biometric Recognition,196,195,661368,NULL,NULL
279,Waste Management,279,279,2565232,NULL,1
280,Sleep Like a Baby Tonight,280,1,301641,NULL,NULL
281,Evergreen,281,1,261373,NULL,NULL
282,Oh Josephine,281,1,398907,NULL,NULL
283,Movin' On Down the Line,281,1,342693,NULL,NULL
284,Wounded Bird,281,1,263453,NULL,NULL
285,Volcano,280,1,194116,NULL,NULL
286,Wee Who See the Deep,281,1,290520,NULL,NULL
287,Cedarwood Road,280,1,265268,NULL,NULL
288,Locust Street,281,1,255240,NULL,NULL
289,Raised By Wolves,280,1,245599,NULL,NULL
290,The Troubles,280,1,285843,NULL,NULL
291,This Is Where You Can Reach Me Now,280,1,305134,NULL,NULL
292,God's Got It,281,1,202653,NULL,NULL
293,California (There Is No End to Love),280,1,239846,NULL,NULL
294,Every Breaking Wave,280,1,252162,NULL,NULL
295,Interview With the Onion News Network,295,295,302002,NULL,1
296,Song for Someone,280,1,226763,NULL,NULL
297,The Miracle (Of Joey Ramone),280,1,255382,NULL,NULL
298,Iris (Hold Me Close),280,1,319457,NULL,NULL
299,Goodbye Daughters of the Revolution,281,1,304147,NULL,NULL
300,Walk Believer Walk,281,1,280253,NULL,NULL
301,Choice Hotels International,301,279,2614047,NULL,1
302,Microchip,302,302,114336,NULL,NULL
303,Anant Agarwal,196,195,494000,NULL,NULL
